"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PL000012120","LEBA, PL","2017-01-02","7.9",,"2.6","4.5","1.5"
"PL000012120","LEBA, PL","2017-01-03","0.0",,"1.7",,"-0.3"
"PL000012120","LEBA, PL","2017-01-04","4.8",,"2.1","5.7","-0.6"
"PL000012120","LEBA, PL","2017-01-05","4.3",,"-3.3","0.9","-5.3"
"PL000012120","LEBA, PL","2017-01-06","3.3",,"-4.8","-2.8",
"PL000012120","LEBA, PL","2017-01-07","0.0","51.0","-5.0","-4.0","-7.6"
"PL000012120","LEBA, PL","2017-01-08","0.5",,"-6.3",,"-9.6"
"PL000012120","LEBA, PL","2017-01-09","0.0","61.0","-1.5","0.1","-5.9"
"PL000012120","LEBA, PL","2017-01-10","39.9",,"-3.5","-0.5",
"PL000012120","LEBA, PL","2017-01-11","0.0","41.0","-5.4",,"-8.3"
"PL000012120","LEBA, PL","2017-01-12","1.0",,"1.8","2.8","-3.7"
"PL000012120","LEBA, PL","2017-01-13","0.0","20.0","0.9","2.4","0.2"
"PL000012120","LEBA, PL","2017-01-14","5.3",,"0.1","2.0","-1.7"
"PL000012120","LEBA, PL","2017-01-15","0.5",,"0.6","2.1","-2.1"
"PL000012120","LEBA, PL","2017-01-16","0.5","41.0","1.2","2.4",
"PL000012120","LEBA, PL","2017-01-17","30.0",,"-1.4","1.6","-4.4"
"PL000012120","LEBA, PL","2017-01-18","30.0",,"-0.6","0.2","-4.5"
"PL000012120","LEBA, PL","2017-01-19","30.0",,"0.1",,"-1.2"
"PL000012120","LEBA, PL","2017-01-20","20.1",,"3.2",,"0.8"
"PL000012120","LEBA, PL","2017-01-21","0.3",,"2.0","5.1",
"PL000012120","LEBA, PL","2017-01-22","0.0",,"0.3","1.5","-0.2"
"PL000012120","LEBA, PL","2017-01-23",,,"-0.7","0.3","-1.8"
"PL000012120","LEBA, PL","2017-01-24",,,"2.3","3.5","-0.6"
"PL000012120","LEBA, PL","2017-01-25",,,"1.7","3.4","0.6"
"PL000012120","LEBA, PL","2017-01-26","0.0",,"0.6","1.9",
"PL000012120","LEBA, PL","2017-01-27","0.0",,"-0.1",,
"PL000012120","LEBA, PL","2017-01-28",,,"-0.3","5.3","-5.3"
"PL000012120","LEBA, PL","2017-01-29",,,"-0.5","2.8","-3.2"
"PL000012120","LEBA, PL","2017-01-30",,,"0.4","3.1",
"PL000012120","LEBA, PL","2017-01-31",,,"-1.7","2.8",
"PL000012120","LEBA, PL","2017-02-01",,,"-3.7","1.5","-6.5"
"PL000012120","LEBA, PL","2017-02-02",,,"-2.5","0.5","-6.5"
"PL000012120","LEBA, PL","2017-02-03",,,"0.3",,"-3.0"
"PL000012120","LEBA, PL","2017-02-04",,,"-0.3","0.8","-1.2"
"PL000012120","LEBA, PL","2017-02-05",,,"-0.4","3.0","-2.7"
"PL000012120","LEBA, PL","2017-02-06",,,"-0.3","1.6",
"PL000012120","LEBA, PL","2017-02-07",,,"-4.6","-0.7",
"PL000012120","LEBA, PL","2017-02-08","0.3",,"-7.6","-5.8",
"PL000012120","LEBA, PL","2017-02-09","0.5","41.0","-7.0",,"-8.7"
"PL000012120","LEBA, PL","2017-02-10","20.1",,"-2.9","2.5","-6.2"
"PL000012120","LEBA, PL","2017-02-11","0.0","10.0","-4.1","-0.1","-8.3"
"PL000012120","LEBA, PL","2017-02-12",,"10.0","-4.9","-1.0","-6.4"
"PL000012120","LEBA, PL","2017-02-13",,"10.0","-5.6",,"-6.8"
"PL000012120","LEBA, PL","2017-02-14",,"10.0","-0.7","2.6","-5.1"
"PL000012120","LEBA, PL","2017-02-15",,,"0.6","10.0","-3.6"
"PL000012120","LEBA, PL","2017-02-16",,,"2.3","6.5","-2.0"
"PL000012120","LEBA, PL","2017-02-17",,,"2.3","5.8","1.2"
"PL000012120","LEBA, PL","2017-02-18","0.0",,"2.7","4.5","1.1"
"PL000012120","LEBA, PL","2017-02-19","0.0",,"2.9","4.3","1.4"
"PL000012120","LEBA, PL","2017-02-20","0.5",,"4.5","5.9","2.6"
"PL000012120","LEBA, PL","2017-02-21","12.7",,"4.7","6.2",
"PL000012120","LEBA, PL","2017-02-22","0.0",,"4.1","6.5","2.4"
"PL000012120","LEBA, PL","2017-02-23","5.3",,"4.3",,
"PL000012120","LEBA, PL","2017-02-24","16.0",,"2.0","5.1","-0.8"
"PL000012120","LEBA, PL","2017-02-25","0.8",,"2.3","4.4","-0.3"
"PL000012120","LEBA, PL","2017-02-26","4.1",,"4.6",,"0.9"
"PL000012120","LEBA, PL","2017-02-27","3.3",,"8.0","12.5","5.4"
"PL000012120","LEBA, PL","2017-02-28","0.0",,"5.4","9.5","1.4"
"PL000012120","LEBA, PL","2017-03-01","1.5",,"4.4","6.0","1.4"
"PL000012120","LEBA, PL","2017-03-02","0.0",,"2.1","5.0","0.1"
"PL000012120","LEBA, PL","2017-03-03","6.6",,"4.0","7.2","1.7"
"PL000012120","LEBA, PL","2017-03-04","0.0",,"5.7","9.7","2.1"
"PL000012120","LEBA, PL","2017-03-05",,,"5.3","8.8","3.2"
"PL000012120","LEBA, PL","2017-03-06",,,"2.3","5.6",
"PL000012120","LEBA, PL","2017-03-07","1.0",,"0.6","2.0","-0.6"
"PL000012120","LEBA, PL","2017-03-08","0.0",,"2.4","4.8","0.2"
"PL000012120","LEBA, PL","2017-03-09","0.0",,"3.2","5.6",
"PL000012120","LEBA, PL","2017-03-10","0.3",,"3.9","6.8","0.9"
"PL000012120","LEBA, PL","2017-03-11","0.3",,"2.0","4.4",
"PL000012120","LEBA, PL","2017-03-12","0.0",,"0.8","5.6","-4.2"
"PL000012120","LEBA, PL","2017-03-13",,,"0.3","5.8","-4.1"
"PL000012120","LEBA, PL","2017-03-14",,,"4.5","8.7","-1.6"
"PL000012120","LEBA, PL","2017-03-15",,,"5.9","7.6","4.7"
"PL000012120","LEBA, PL","2017-03-16",,,"5.6",,"3.9"
"PL000012120","LEBA, PL","2017-03-17",,,"6.4","9.0",
"PL000012120","LEBA, PL","2017-03-18","1.5",,"3.6","5.1","2.1"
"PL000012120","LEBA, PL","2017-03-19","6.6",,"2.9","4.2","2.0"
"PL000012120","LEBA, PL","2017-03-20","2.8",,"4.4",,"0.8"
"PL000012120","LEBA, PL","2017-03-21","9.1",,"7.6","10.4","4.5"
"PL000012120","LEBA, PL","2017-03-22","0.3",,"5.6","9.7",
"PL000012120","LEBA, PL","2017-03-23","0.0",,"5.3","12.4","-0.8"
"PL000012120","LEBA, PL","2017-03-24",,,"4.7","9.4","-1.3"
"PL000012120","LEBA, PL","2017-03-25",,,"4.4","6.9",
"PL000012120","LEBA, PL","2017-03-26",,,"4.4","10.8","-2.6"
"PL000012120","LEBA, PL","2017-03-27",,,"7.1","9.3","4.9"
"PL000012120","LEBA, PL","2017-03-28",,,"5.2","8.7",
"PL000012120","LEBA, PL","2017-03-29",,,"4.6","9.1","2.4"
"PL000012120","LEBA, PL","2017-03-30",,,"6.8",,"3.4"
"PL000012120","LEBA, PL","2017-03-31","1.5",,"12.7","18.4","8.7"
"PL000012120","LEBA, PL","2017-04-01","0.0",,"11.4","19.0",
"PL000012120","LEBA, PL","2017-04-02",,,"7.8","13.2","3.6"
"PL000012120","LEBA, PL","2017-04-03",,,"6.8","9.6",
"PL000012120","LEBA, PL","2017-04-04",,,"4.8","6.9","3.1"
"PL000012120","LEBA, PL","2017-04-05",,,"6.8","11.0","3.5"
"PL000012120","LEBA, PL","2017-04-06","1.3",,"5.9","7.6","4.7"
"PL000012120","LEBA, PL","2017-04-07","1.0",,"6.6","8.2","5.4"
"PL000012120","LEBA, PL","2017-04-08","0.0",,"7.4","10.0","5.5"
"PL000012120","LEBA, PL","2017-04-09","0.0",,"8.7","12.7",
"PL000012120","LEBA, PL","2017-04-10",,,"9.7","19.1","4.2"
"PL000012120","LEBA, PL","2017-04-11",,,"6.3","8.4","5.3"
"PL000012120","LEBA, PL","2017-04-12","0.3",,"6.5","7.8","4.4"
"PL000012120","LEBA, PL","2017-04-13","5.3",,"6.3","8.1",
"PL000012120","LEBA, PL","2017-04-14","1.5",,"6.9","9.1","5.3"
"PL000012120","LEBA, PL","2017-04-15","0.8",,"5.2","7.0",
"PL000012120","LEBA, PL","2017-04-16","25.9",,"2.2","5.8",
"PL000012120","LEBA, PL","2017-04-17","0.0",,"1.5","6.2","-2.9"
"PL000012120","LEBA, PL","2017-04-18",,,"3.1","6.1","-0.3"
"PL000012120","LEBA, PL","2017-04-19",,,"2.5","5.9",
"PL000012120","LEBA, PL","2017-04-20",,,"3.4","7.6","-4.1"
"PL000012120","LEBA, PL","2017-04-21","0.0",,"7.6","9.7","5.0"
"PL000012120","LEBA, PL","2017-04-22","3.3",,"6.4","8.5","5.1"
"PL000012120","LEBA, PL","2017-04-23","0.0",,"6.3",,"5.0"
"PL000012120","LEBA, PL","2017-04-24","0.0",,"6.2",,"4.6"
"PL000012120","LEBA, PL","2017-04-25","3.8",,"4.4","8.0","2.5"
"PL000012120","LEBA, PL","2017-04-26","2.3",,"5.1","9.1",
"PL000012120","LEBA, PL","2017-04-27","0.0",,"5.0","9.3","0.0"
"PL000012120","LEBA, PL","2017-04-28",,,"6.4","11.0","-0.1"
"PL000012120","LEBA, PL","2017-04-29","0.5",,"5.7","8.3",
"PL000012120","LEBA, PL","2017-04-30","0.0",,"5.6","9.2","-1.0"
"PL000012120","LEBA, PL","2017-05-01",,,"6.9","12.7","2.0"
"PL000012120","LEBA, PL","2017-05-02",,,"7.8","12.9","3.6"
"PL000012120","LEBA, PL","2017-05-03",,,"7.2","9.7","6.1"
"PL000012120","LEBA, PL","2017-05-04",,,"8.0","9.8","6.3"
"PL000012120","LEBA, PL","2017-05-05","0.8",,"9.0","10.8","7.4"
"PL000012120","LEBA, PL","2017-05-06","0.0",,"8.3","10.6","6.0"
"PL000012120","LEBA, PL","2017-05-07",,,"6.9","8.5",
"PL000012120","LEBA, PL","2017-05-08",,,"5.4","7.8",
"PL000012120","LEBA, PL","2017-05-09","2.3",,"3.4","5.9","-0.1"
