Date,"Bogurodzica (pieśń)"
2017-01-01,316
2017-01-02,687
2017-01-03,695
2017-01-04,650
2017-01-05,347
2017-01-06,258
2017-01-07,343
2017-01-08,642
2017-01-09,670
2017-01-10,727
2017-01-11,663
2017-01-12,585
2017-01-13,326
2017-01-14,283
2017-01-15,425
2017-01-16,451
2017-01-17,482
2017-01-18,418
2017-01-19,417
2017-01-20,281
2017-01-21,227
2017-01-22,381
2017-01-23,425
2017-01-24,350
2017-01-25,430
2017-01-26,309
2017-01-27,224
2017-01-28,204
2017-01-29,317
2017-01-30,422
2017-01-31,488
2017-02-01,468
2017-02-02,473
2017-02-03,291
2017-02-04,216
2017-02-05,450
2017-02-06,551
2017-02-07,521
2017-02-08,609
2017-02-09,526
2017-02-10,278
2017-02-11,302
2017-02-12,478
2017-02-13,543
2017-02-14,482
2017-02-15,577
2017-02-16,536
2017-02-17,426
2017-02-18,280
2017-02-19,587
2017-02-20,682
2017-02-21,636
2017-02-22,527
2017-02-23,491
2017-02-24,420
2017-02-25,282
2017-02-26,616
2017-02-27,680
2017-02-28,711
2017-03-01,639
2017-03-02,643
2017-03-03,366
2017-03-04,305
2017-03-05,749
2017-03-06,659
2017-03-07,599
2017-03-08,520
2017-03-09,531
2017-03-10,365
2017-03-11,252
2017-03-12,470
2017-03-13,622
2017-03-14,547
2017-03-15,647
2017-03-16,590
2017-03-17,352
2017-03-18,292
2017-03-19,470
2017-03-20,538
2017-03-21,440
2017-03-22,506
2017-03-23,493
2017-03-24,314
2017-03-25,305
2017-03-26,508
2017-03-27,577
2017-03-28,590
2017-03-29,506
2017-03-30,492
2017-03-31,274
2017-04-01,242
2017-04-02,441
2017-04-03,632
2017-04-04,532
2017-04-05,584
2017-04-06,715
2017-04-07,343
2017-04-08,262
2017-04-09,575
2017-04-10,546
2017-04-11,446
2017-04-12,298
2017-04-13,184
2017-04-14,196
2017-04-15,229
2017-04-16,197
2017-04-17,250
2017-04-18,424
2017-04-19,466
2017-04-20,478
2017-04-21,345
2017-04-22,279
2017-04-23,467
2017-04-24,534
2017-04-25,555
2017-04-26,575
2017-04-27,536
2017-04-28,259
2017-04-29,419
2017-04-30,416
2017-05-01,593
2017-05-02,723
2017-05-03,1210
2017-05-04,330
2017-05-05,213
2017-05-06,177
2017-05-07,281
2017-05-08,374
2017-05-09,422
2017-05-10,561
2017-05-11,449
2017-05-12,284
2017-05-13,214
2017-05-14,314
2017-05-15,446
2017-05-16,469
2017-05-17,495
2017-05-18,372
2017-05-19,196
2017-05-20,176
2017-05-21,232
2017-05-22,307
2017-05-23,354
2017-05-24,332
2017-05-25,346
2017-05-26,180
2017-05-27,163
2017-05-28,255
2017-05-29,357
2017-05-30,327
2017-05-31,304
2017-06-01,285
2017-06-02,188
2017-06-03,116
2017-06-04,237
2017-06-05,338
2017-06-06,322
2017-06-07,355
2017-06-08,353
2017-06-09,227
2017-06-10,169
2017-06-11,260
2017-06-12,320
2017-06-13,237
