Date,"JavaScript"
2017-01-01,147
2017-01-02,274
2017-01-03,290
2017-01-04,280
2017-01-05,229
2017-01-06,193
2017-01-07,211
2017-01-08,229
2017-01-09,279
2017-01-10,321
2017-01-11,327
2017-01-12,285
2017-01-13,247
2017-01-14,193
2017-01-15,211
2017-01-16,235
2017-01-17,303
2017-01-18,259
2017-01-19,299
2017-01-20,274
2017-01-21,193
2017-01-22,270
2017-01-23,304
2017-01-24,324
2017-01-25,311
2017-01-26,312
2017-01-27,275
2017-01-28,275
2017-01-29,234
2017-01-30,277
2017-01-31,264
2017-02-01,309
2017-02-02,285
2017-02-03,221
2017-02-04,243
2017-02-05,264
2017-02-06,267
2017-02-07,294
2017-02-08,307
2017-02-09,270
2017-02-10,267
2017-02-11,248
2017-02-12,252
2017-02-13,288
2017-02-14,239
2017-02-15,254
2017-02-16,259
2017-02-17,209
2017-02-18,236
2017-02-19,214
2017-02-20,300
2017-02-21,303
2017-02-22,284
2017-02-23,257
2017-02-24,218
2017-02-25,214
2017-02-26,211
2017-02-27,271
2017-02-28,348
2017-03-01,295
2017-03-02,305
2017-03-03,261
2017-03-04,193
2017-03-05,210
2017-03-06,288
2017-03-07,320
2017-03-08,263
2017-03-09,280
2017-03-10,223
2017-03-11,198
2017-03-12,219
2017-03-13,304
2017-03-14,333
2017-03-15,317
2017-03-16,255
2017-03-17,236
2017-03-18,192
2017-03-19,229
2017-03-20,266
2017-03-21,316
2017-03-22,310
2017-03-23,261
2017-03-24,240
2017-03-25,174
2017-03-26,212
2017-03-27,257
2017-03-28,315
2017-03-29,289
2017-03-30,264
2017-03-31,222
2017-04-01,149
2017-04-02,181
2017-04-03,255
2017-04-04,317
2017-04-05,288
2017-04-06,242
2017-04-07,262
2017-04-08,166
2017-04-09,215
2017-04-10,243
2017-04-11,288
2017-04-12,271
2017-04-13,206
2017-04-14,240
2017-04-15,167
2017-04-16,150
2017-04-17,181
2017-04-18,249
2017-04-19,285
2017-04-20,295
2017-04-21,290
2017-04-22,203
2017-04-23,218
2017-04-24,340
2017-04-25,296
2017-04-26,302
2017-04-27,266
2017-04-28,198
2017-04-29,164
2017-04-30,152
2017-05-01,147
2017-05-02,171
2017-05-03,215
2017-05-04,263
2017-05-05,226
2017-05-06,198
2017-05-07,254
2017-05-08,286
2017-05-09,297
2017-05-10,261
2017-05-11,229
2017-05-12,224
2017-05-13,172
2017-05-14,180
2017-05-15,267
2017-05-16,302
2017-05-17,235
2017-05-18,242
2017-05-19,208
2017-05-20,174
2017-05-21,215
2017-05-22,237
2017-05-23,340
2017-05-24,273
2017-05-25,246
2017-05-26,232
2017-05-27,201
2017-05-28,197
2017-05-29,266
2017-05-30,288
2017-05-31,242
2017-06-01,275
2017-06-02,232
2017-06-03,167
2017-06-04,227
2017-06-05,339
2017-06-06,315
2017-06-07,292
2017-06-08,267
2017-06-09,251
2017-06-10,194
2017-06-11,203
2017-06-12,250
2017-06-13,263
2017-06-14,201
2017-06-15,167
2017-06-16,156
2017-06-17,180
2017-06-18,163
2017-06-19,274
2017-06-20,211
2017-06-21,213
2017-06-22,238
2017-06-23,181
2017-06-24,137
2017-06-25,203
2017-06-26,254
2017-06-27,215
2017-06-28,187
2017-06-29,197
2017-06-30,196
2017-07-01,131
2017-07-02,161
2017-07-03,216
2017-07-04,224
2017-07-05,192
2017-07-06,198
2017-07-07,177
2017-07-08,163
2017-07-09,139
2017-07-10,222
2017-07-11,235
2017-07-12,208
2017-07-13,197
2017-07-14,189
2017-07-15,158
2017-07-16,136
2017-07-17,183
2017-07-18,207
2017-07-19,190
2017-07-20,188
2017-07-21,191
2017-07-22,127
2017-07-23,182
2017-07-24,175
2017-07-25,205
2017-07-26,207
2017-07-27,200
2017-07-28,171
2017-07-29,135
2017-07-30,118
2017-07-31,178
2017-08-01,174
2017-08-02,201
2017-08-03,174
2017-08-04,143
2017-08-05,119
2017-08-06,114
2017-08-07,198
2017-08-08,205
2017-08-09,217
2017-08-10,184
2017-08-11,185
2017-08-12,160
2017-08-13,136
2017-08-14,190
2017-08-15,226
2017-08-16,183
2017-08-17,180
2017-08-18,183
2017-08-19,143
2017-08-20,155
2017-08-21,180
2017-08-22,188
2017-08-23,196
2017-08-24,176
2017-08-25,197
2017-08-26,159
2017-08-27,179
2017-08-28,199
2017-08-29,247
2017-08-30,217
2017-08-31,208
2017-09-01,174
2017-09-02,152
2017-09-03,176
2017-09-04,199
2017-09-05,321
2017-09-06,360
2017-09-07,363
2017-09-08,309
2017-09-09,133
2017-09-10,180
2017-09-11,379
2017-09-12,332
2017-09-13,264
2017-09-14,473
2017-09-15,246
2017-09-16,148
2017-09-17,180
2017-09-18,355
2017-09-19,291
2017-09-20,294
2017-09-21,279
2017-09-22,254
2017-09-23,155
2017-09-24,191
2017-09-25,258
2017-09-26,285
2017-09-27,260
2017-09-28,234
2017-09-29,241
2017-09-30,134
2017-10-01,196
2017-10-02,282
2017-10-03,277
2017-10-04,273
2017-10-05,337
2017-10-06,230
2017-10-07,183
2017-10-08,199
2017-10-09,293
2017-10-10,287
2017-10-11,349
2017-10-12,294
2017-10-13,233
2017-10-14,163
2017-10-15,207
2017-10-16,253
2017-10-17,254
2017-10-18,292
2017-10-19,250
2017-10-20,254
2017-10-21,180
2017-10-22,242
2017-10-23,289
2017-10-24,278
2017-10-25,311
2017-10-26,301
2017-10-27,260
2017-10-28,153
2017-10-29,199
2017-10-30,309
2017-10-31,196
2017-11-01,192
2017-11-02,243
2017-11-03,208
2017-11-04,174
2017-11-05,226
2017-11-06,267
2017-11-07,281
2017-11-08,304
2017-11-09,264
2017-11-10,212
2017-11-11,159
2017-11-12,208
2017-11-13,277
2017-11-14,271
2017-11-15,258
2017-11-16,286
2017-11-17,259
2017-11-18,190
2017-11-19,222
2017-11-20,271
2017-11-21,330
2017-11-22,293
2017-11-23,281
2017-11-24,242
2017-11-25,183
2017-11-26,243
2017-11-27,310
2017-11-28,257
2017-11-29,284
2017-11-30,247
2017-12-01,188
2017-12-02,199
2017-12-03,240
2017-12-04,260
2017-12-05,241
2017-12-06,218
2017-12-07,228
2017-12-08,231
2017-12-09,153
2017-12-10,224
2017-12-11,254
2017-12-12,286
2017-12-13,269
2017-12-14,249
2017-12-15,257
2017-12-16,174
2017-12-17,216
2017-12-18,270
2017-12-19,237
2017-12-20,242
2017-12-21,218
2017-12-22,167
2017-12-23,123
2017-12-24,107
2017-12-25,107
2017-12-26,142
2017-12-27,189
2017-12-28,181
2017-12-29,168
2017-12-30,136
2017-12-31,115
