Date,"Lament świętokrzyski"
2017-01-01,36
2017-01-02,88
2017-01-03,160
2017-01-04,143
2017-01-05,68
2017-01-06,39
2017-01-07,69
2017-01-08,161
2017-01-09,147
2017-01-10,165
2017-01-11,156
2017-01-12,129
2017-01-13,62
2017-01-14,54
2017-01-15,72
2017-01-16,123
2017-01-17,122
2017-01-18,129
2017-01-19,105
2017-01-20,41
2017-01-21,48
2017-01-22,97
2017-01-23,126
2017-01-24,102
2017-01-25,100
2017-01-26,113
2017-01-27,52
2017-01-28,57
2017-01-29,99
2017-01-30,117
2017-01-31,117
2017-02-01,118
2017-02-02,126
2017-02-03,79
2017-02-04,67
2017-02-05,155
2017-02-06,162
2017-02-07,155
2017-02-08,148
2017-02-09,172
2017-02-10,87
2017-02-11,56
2017-02-12,92
2017-02-13,159
2017-02-14,150
2017-02-15,196
2017-02-16,151
2017-02-17,91
2017-02-18,58
2017-02-19,146
2017-02-20,161
2017-02-21,154
2017-02-22,121
2017-02-23,147
2017-02-24,117
2017-02-25,54
2017-02-26,172
2017-02-27,173
2017-02-28,169
2017-03-01,181
2017-03-02,194
2017-03-03,75
2017-03-04,62
2017-03-05,156
2017-03-06,140
2017-03-07,153
2017-03-08,151
2017-03-09,148
2017-03-10,70
2017-03-11,60
2017-03-12,125
2017-03-13,122
2017-03-14,124
2017-03-15,134
2017-03-16,133
2017-03-17,54
2017-03-18,51
2017-03-19,113
2017-03-20,114
2017-03-21,81
2017-03-22,100
2017-03-23,76
2017-03-24,57
2017-03-25,45
2017-03-26,94
2017-03-27,90
2017-03-28,112
2017-03-29,116
2017-03-30,118
2017-03-31,76
2017-04-01,50
2017-04-02,95
2017-04-03,130
2017-04-04,120
2017-04-05,92
2017-04-06,124
2017-04-07,57
2017-04-08,66
2017-04-09,141
2017-04-10,108
2017-04-11,100
2017-04-12,53
2017-04-13,52
2017-04-14,65
2017-04-15,43
2017-04-16,41
2017-04-17,58
2017-04-18,98
2017-04-19,108
2017-04-20,105
2017-04-21,76
2017-04-22,61
2017-04-23,108
2017-04-24,128
