Date,"Python"
2017-01-01,155
2017-01-02,263
2017-01-03,326
2017-01-04,326
2017-01-05,259
2017-01-06,211
2017-01-07,251
2017-01-08,225
2017-01-09,315
2017-01-10,332
2017-01-11,331
2017-01-12,308
2017-01-13,288
2017-01-14,218
2017-01-15,266
2017-01-16,324
2017-01-17,321
2017-01-18,326
2017-01-19,361
2017-01-20,272
2017-01-21,245
2017-01-22,258
2017-01-23,319
2017-01-24,310
2017-01-25,303
2017-01-26,327
2017-01-27,301
2017-01-28,236
2017-01-29,1011
2017-01-30,320
2017-01-31,295
2017-02-01,332
2017-02-02,315
2017-02-03,302
2017-02-04,244
2017-02-05,260
2017-02-06,331
2017-02-07,309
2017-02-08,310
2017-02-09,292
2017-02-10,315
2017-02-11,315
2017-02-12,282
2017-02-13,302
2017-02-14,291
2017-02-15,328
2017-02-16,340
2017-02-17,265
2017-02-18,230
2017-02-19,272
2017-02-20,374
2017-02-21,391
2017-02-22,336
2017-02-23,359
2017-02-24,296
2017-02-25,236
2017-02-26,309
2017-02-27,373
2017-02-28,343
2017-03-01,386
2017-03-02,409
2017-03-03,335
2017-03-04,238
2017-03-05,305
2017-03-06,319
2017-03-07,343
2017-03-08,315
2017-03-09,427
2017-03-10,330
2017-03-11,285
2017-03-12,317
2017-03-13,376
2017-03-14,373
2017-03-15,357
2017-03-16,354
2017-03-17,313
2017-03-18,230
2017-03-19,272
2017-03-20,355
2017-03-21,360
2017-03-22,328
2017-03-23,399
2017-03-24,288
2017-03-25,256
2017-03-26,240
2017-03-27,319
2017-03-28,332
2017-03-29,359
2017-03-30,438
2017-03-31,276
2017-04-01,166
2017-04-02,222
2017-04-03,304
2017-04-04,304
2017-04-05,332
2017-04-06,525
2017-04-07,279
2017-04-08,252
2017-04-09,235
2017-04-10,323
2017-04-11,303
2017-04-12,316
2017-04-13,289
2017-04-14,235
2017-04-15,199
2017-04-16,208
2017-04-17,228
2017-04-18,300
2017-04-19,312
2017-04-20,288
2017-04-21,276
2017-04-22,251
2017-04-23,224
2017-04-24,312
2017-04-25,343
2017-04-26,278
2017-04-27,327
2017-04-28,237
2017-04-29,168
2017-04-30,179
2017-05-01,208
2017-05-02,206
2017-05-03,237
2017-05-04,290
2017-05-05,266
2017-05-06,226
2017-05-07,242
2017-05-08,364
2017-05-09,373
2017-05-10,325
2017-05-11,352
2017-05-12,318
2017-05-13,243
2017-05-14,292
2017-05-15,405
2017-05-16,334
2017-05-17,337
2017-05-18,341
2017-05-19,891
2017-05-20,259
2017-05-21,236
2017-05-22,364
2017-05-23,385
2017-05-24,415
2017-05-25,413
2017-05-26,340
2017-05-27,231
2017-05-28,257
2017-05-29,351
2017-05-30,348
2017-05-31,333
2017-06-01,315
2017-06-02,283
2017-06-03,195
2017-06-04,252
2017-06-05,361
2017-06-06,362
2017-06-07,364
2017-06-08,347
2017-06-09,261
2017-06-10,200
2017-06-11,269
2017-06-12,306
2017-06-13,269
2017-06-14,241
2017-06-15,188
2017-06-16,182
2017-06-17,194
2017-06-18,181
2017-06-19,270
2017-06-20,297
2017-06-21,261
2017-06-22,229
2017-06-23,228
2017-06-24,198
2017-06-25,218
2017-06-26,270
2017-06-27,237
2017-06-28,276
2017-06-29,226
2017-06-30,208
2017-07-01,195
2017-07-02,197
2017-07-03,229
2017-07-04,284
2017-07-05,298
2017-07-06,259
2017-07-07,215
2017-07-08,189
2017-07-09,200
2017-07-10,274
2017-07-11,261
2017-07-12,279
2017-07-13,257
2017-07-14,243
2017-07-15,170
2017-07-16,164
2017-07-17,225
2017-07-18,217
2017-07-19,253
2017-07-20,241
2017-07-21,227
2017-07-22,100
2017-07-23,173
2017-07-24,248
2017-07-25,251
2017-07-26,232
2017-07-27,218
2017-07-28,201
2017-07-29,138
2017-07-30,126
2017-07-31,190
2017-08-01,230
2017-08-02,216
2017-08-03,243
2017-08-04,182
2017-08-05,129
2017-08-06,141
2017-08-07,212
2017-08-08,243
2017-08-09,214
2017-08-10,231
2017-08-11,174
2017-08-12,150
2017-08-13,152
2017-08-14,162
2017-08-15,175
2017-08-16,215
2017-08-17,207
2017-08-18,214
2017-08-19,213
2017-08-20,207
2017-08-21,228
2017-08-22,285
2017-08-23,263
2017-08-24,251
2017-08-25,212
2017-08-26,151
2017-08-27,271
2017-08-28,297
2017-08-29,302
2017-08-30,246
2017-08-31,257
2017-09-01,217
2017-09-02,180
2017-09-03,197
2017-09-04,273
2017-09-05,332
2017-09-06,357
2017-09-07,392
2017-09-08,305
2017-09-09,200
2017-09-10,251
2017-09-11,321
2017-09-12,357
2017-09-13,321
2017-09-14,341
2017-09-15,298
2017-09-16,240
2017-09-17,258
2017-09-18,374
2017-09-19,313
2017-09-20,369
2017-09-21,340
2017-09-22,335
2017-09-23,219
2017-09-24,278
2017-09-25,363
2017-09-26,350
2017-09-27,397
2017-09-28,323
2017-09-29,309
2017-09-30,228
2017-10-01,270
2017-10-02,437
2017-10-03,438
2017-10-04,563
2017-10-05,495
2017-10-06,410
2017-10-07,307
2017-10-08,304
2017-10-09,435
2017-10-10,418
2017-10-11,458
2017-10-12,386
2017-10-13,296
2017-10-14,265
2017-10-15,311
2017-10-16,436
2017-10-17,434
