Date,"Ruby (język programowania)"
2017-01-01,39
2017-01-02,89
2017-01-03,81
2017-01-04,99
2017-01-05,99
2017-01-06,54
2017-01-07,70
2017-01-08,69
2017-01-09,92
2017-01-10,69
2017-01-11,76
2017-01-12,69
2017-01-13,76
2017-01-14,54
2017-01-15,63
2017-01-16,64
2017-01-17,100
2017-01-18,89
2017-01-19,85
2017-01-20,79
2017-01-21,53
2017-01-22,58
2017-01-23,64
2017-01-24,71
2017-01-25,85
2017-01-26,80
2017-01-27,70
2017-01-28,53
2017-01-29,62
2017-01-30,101
2017-01-31,71
2017-02-01,68
2017-02-02,65
2017-02-03,52
2017-02-04,72
2017-02-05,69
2017-02-06,80
2017-02-07,114
2017-02-08,72
2017-02-09,79
2017-02-10,81
2017-02-11,53
2017-02-12,68
2017-02-13,63
2017-02-14,64
2017-02-15,83
2017-02-16,91
2017-02-17,63
2017-02-18,37
2017-02-19,53
2017-02-20,60
2017-02-21,81
2017-02-22,96
2017-02-23,73
2017-02-24,84
2017-02-25,53
2017-02-26,65
2017-02-27,92
2017-02-28,92
2017-03-01,74
2017-03-02,76
2017-03-03,93
2017-03-04,84
2017-03-05,78
2017-03-06,111
2017-03-07,87
2017-03-08,77
2017-03-09,102
2017-03-10,77
2017-03-11,58
2017-03-12,71
2017-03-13,125
2017-03-14,98
2017-03-15,101
2017-03-16,97
2017-03-17,84
2017-03-18,78
2017-03-19,79
2017-03-20,94
2017-03-21,88
2017-03-22,90
2017-03-23,103
2017-03-24,82
2017-03-25,60
2017-03-26,52
2017-03-27,77
2017-03-28,103
2017-03-29,100
2017-03-30,96
2017-03-31,74
2017-04-01,69
2017-04-02,65
2017-04-03,95
2017-04-04,87
2017-04-05,90
2017-04-06,92
2017-04-07,97
2017-04-08,73
2017-04-09,55
2017-04-10,85
2017-04-11,94
2017-04-12,100
2017-04-13,84
2017-04-14,75
2017-04-15,54
2017-04-16,56
2017-04-17,73
2017-04-18,110
2017-04-19,87
2017-04-20,100
2017-04-21,79
2017-04-22,72
2017-04-23,64
2017-04-24,103
2017-04-25,117
2017-04-26,95
2017-04-27,85
2017-04-28,101
2017-04-29,46
2017-04-30,48
2017-05-01,60
2017-05-02,59
2017-05-03,73
2017-05-04,85
2017-05-05,73
2017-05-06,67
2017-05-07,64
2017-05-08,91
2017-05-09,118
2017-05-10,119
2017-05-11,85
2017-05-12,60
2017-05-13,38
2017-05-14,58
2017-05-15,100
2017-05-16,77
2017-05-17,99
2017-05-18,81
2017-05-19,81
2017-05-20,39
2017-05-21,67
2017-05-22,93
2017-05-23,81
2017-05-24,88
2017-05-25,93
2017-05-26,77
2017-05-27,65
2017-05-28,55
2017-05-29,65
2017-05-30,73
2017-05-31,87
2017-06-01,97
2017-06-02,70
2017-06-03,57
2017-06-04,45
2017-06-05,71
2017-06-06,90
2017-06-07,79
2017-06-08,75
2017-06-09,75
2017-06-10,64
2017-06-11,68
2017-06-12,66
2017-06-13,100
2017-06-14,67
2017-06-15,56
2017-06-16,50
2017-06-17,39
2017-06-18,59
2017-06-19,64
2017-06-20,62
2017-06-21,76
2017-06-22,84
2017-06-23,44
2017-06-24,50
2017-06-25,64
2017-06-26,74
2017-06-27,66
2017-06-28,76
2017-06-29,84
2017-06-30,67
2017-07-01,63
2017-07-02,60
2017-07-03,64
2017-07-04,66
2017-07-05,80
2017-07-06,69
2017-07-07,50
2017-07-08,43
2017-07-09,36
2017-07-10,58
2017-07-11,74
2017-07-12,87
2017-07-13,88
2017-07-14,49
2017-07-15,61
2017-07-16,42
2017-07-17,65
2017-07-18,66
2017-07-19,76
2017-07-20,48
2017-07-21,55
2017-07-22,31
2017-07-23,30
2017-07-24,68
2017-07-25,72
2017-07-26,61
2017-07-27,71
2017-07-28,64
2017-07-29,38
2017-07-30,48
2017-07-31,50
2017-08-01,58
2017-08-02,51
2017-08-03,72
2017-08-04,44
2017-08-05,33
2017-08-06,41
2017-08-07,65
2017-08-08,60
2017-08-09,64
2017-08-10,64
2017-08-11,73
2017-08-12,58
2017-08-13,37
2017-08-14,47
2017-08-15,42
2017-08-16,66
2017-08-17,73
2017-08-18,71
2017-08-19,54
2017-08-20,84
2017-08-21,72
2017-08-22,68
2017-08-23,70
2017-08-24,95
2017-08-25,60
2017-08-26,39
2017-08-27,61
2017-08-28,76
2017-08-29,61
2017-08-30,72
2017-08-31,63
2017-09-01,65
2017-09-02,38
2017-09-03,41
2017-09-04,48
2017-09-05,73
2017-09-06,87
2017-09-07,78
2017-09-08,59
2017-09-09,44
2017-09-10,47
2017-09-11,70
2017-09-12,88
2017-09-13,74
2017-09-14,69
2017-09-15,75
2017-09-16,50
2017-09-17,63
2017-09-18,101
2017-09-19,75
2017-09-20,78
2017-09-21,77
2017-09-22,87
2017-09-23,40
2017-09-24,79
2017-09-25,87
2017-09-26,65
2017-09-27,84
2017-09-28,73
2017-09-29,63
2017-09-30,49
2017-10-01,64
2017-10-02,83
2017-10-03,86
2017-10-04,96
2017-10-05,76
2017-10-06,94
2017-10-07,50
2017-10-08,60
2017-10-09,64
2017-10-10,88
2017-10-11,85
2017-10-12,81
2017-10-13,62
2017-10-14,60
2017-10-15,60
2017-10-16,85
2017-10-17,97
2017-10-18,95
2017-10-19,75
2017-10-20,81
2017-10-21,66
2017-10-22,69
2017-10-23,103
2017-10-24,117
2017-10-25,104
2017-10-26,108
2017-10-27,65
2017-10-28,48
2017-10-29,68
2017-10-30,80
2017-10-31,65
2017-11-01,76
2017-11-02,74
2017-11-03,64
2017-11-04,55
2017-11-05,52
2017-11-06,65
2017-11-07,73
2017-11-08,79
2017-11-09,57
2017-11-10,57
2017-11-11,58
2017-11-12,68
2017-11-13,79
2017-11-14,86
2017-11-15,80
2017-11-16,100
2017-11-17,106
2017-11-18,73
2017-11-19,59
2017-11-20,108
2017-11-21,99
2017-11-22,100
2017-11-23,97
2017-11-24,78
2017-11-25,63
2017-11-26,99
2017-11-27,112
2017-11-28,94
2017-11-29,108
2017-11-30,106
2017-12-01,84
2017-12-02,86
2017-12-03,90
2017-12-04,94
2017-12-05,104
2017-12-06,106
2017-12-07,70
2017-12-08,75
2017-12-09,53
2017-12-10,57
2017-12-11,78
2017-12-12,99
2017-12-13,94
2017-12-14,89
2017-12-15,86
2017-12-16,55
2017-12-17,52
2017-12-18,111
2017-12-19,84
2017-12-20,66
2017-12-21,68
2017-12-22,57
2017-12-23,40
2017-12-24,30
2017-12-25,34
2017-12-26,53
2017-12-27,50
2017-12-28,79
2017-12-29,78
2017-12-30,51
2017-12-31,38
